Questions;Answers; ; ; ; ; ; ;Indexes; ; ; ; ; ;
Weinkeller Probe 597 Farbe;Hellgelb; ; ; ; ; ; 
Weinkeller Probe 597 Geruch;Apfel;SchmelzCremig; ; ; ; ; 
Weinkeller Probe 597 Geschmack;Leichte Süße;Sauer;SchmelzCremig; ; ; ; 
Weinkeller Probe 364 Farbe;Hellgelb; ; ; ; ; ; 
Weinkeller Probe 364 Geruch;Blumig;Rose;Fruchtig;Honigmelone;Pfirsich;Apfel;Birne
Weinkeller Probe 364 Geschmack;Leichte Süße;Dominante Säure;Bitter; ; ; ; 
Weinkeller Probe 131 Farbe;Hellgelb; ; ; ; ; ; 
Weinkeller Probe 131 Geruch;Zitrus;Dumpf; ; ; ; ; 
Weinkeller Probe 131 Geschmack;Leichte Süße;Dominante Säure;Bitter;Alkoholisch; ; ; 
Proband ID;19; ; ; ; ; ;

Studie;CATA; ; ; ; ; ;

Studie Variante;Weißwein; ; ; ; ; ;

Umgebung;Weinkeller; ; ; ; ; ;

