Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;16-24;;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;;
Weißwein Farbe.;goldgelb;;;
Weißwein Geruch.;Schwarze Johannisbeere;Maracuja;Grapefruit;grüne Paprika
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit mittel;
Weißwein Geschmack;Alkohol mittel;Abgang lang; ; 
Weißwein Gesamteindruck.;gut;;;
Rotwein Farbe.;granatrot;;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;Vanille;Kiefernadel
Rotwein Geschmack;Süße mittel;Säure viel;Bitterkeit mittel;viel
Rotwein Geschmack;Alkohol mittel;Abgang viel; ; 
Rotwein Gesamteindruck.;akzeptabel;;;
Zeit in Sekunden;371;;;
